name,make,model,year,price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,exterior_color,interior_color,drivetrain
2024 Chevrolet Silverado 1500 RST,Chevrolet,Silverado 1500,2024,58610,16V GDI OHV,8,Gasoline,0,Automatic,RST,Pickup Truck,4,Summit White,Jet Black,Four-wheel Drive
2024 Kia Seltos EX,Kia,Seltos,2024,29640,16V MPFI DOHC,4,Gasoline,16,Automatic CVT,EX,SUV,4,Steel Gray,Black,All-wheel Drive
2024 Chevrolet Blazer 3LT,Chevrolet,Blazer,2024,43727,24V GDI DOHC,6,Gasoline,9,9-Speed Automatic,3LT,SUV,4,Copper Bronze,Jet Black,All-wheel Drive
2024 GMC Terrain SLE,GMC,Terrain,2024,35870,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,0,Automatic,SLE,SUV,4,Summit White,Jet Blk Premium Clth,All-wheel Drive
2024 RAM 3500 Tradesman,RAM,3500,2024,64670,oled Turbo Diesel I-6 6.7 L/408,6,Diesel,15,Automatic,Tradesman,Pickup Truck,4,Bright White Clearcoat,Diesel Gray/Black,Four-wheel Drive
2024 Jeep Wrangler Sport S,Jeep,Wrangler,2024,46973,"gasoline direct injection, DOHC, intercooled turbo, premi",4,Gasoline,10,Automatic,Sport S,SUV,4,Hydro Blue Pearlcoat,Black,Four-wheel Drive
2024 Jeep Grand Cherokee 4xe Trailhawk,Jeep,Grand Cherokee 4xe,2024,54905,16V GDI DOHC Turbo Hybrid,4,Hybrid,1,8-Speed Automatic,Trailhawk,SUV,4,Silver Zynith,Global Black,Four-wheel Drive
2024 Mazda CX-90 PHEV Preferred,Mazda,CX-90 PHEV,2024,50915,16V GDI DOHC Hybrid,4,Hybrid,7,8-Speed Automatic,Preferred,SUV,4,Machine Gray Metallic,Black,All-wheel Drive
2024 Acura MDX Advance,Acura,MDX,2024,65595,24V GDI SOHC,6,Gasoline,16,10-Speed Automatic,Advance,SUV,4,Gray,,All-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,28860,16V GDI DOHC Turbo,4,Gasoline,7,8-Speed Automatic,Latitude,SUV,4,Diamond Black,Black,Four-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,46835,16V MPFI OHV,8,Gasoline,21,8-Speed Automatic,Pursuit,SUV,4,DB Black Crystal Clearcoat,Black,All-wheel Drive
2024 Volkswagen Atlas Cross Sport 2.0T SEL,Volkswagen,Atlas Cross Sport,2024,51721,"gasoline direct injection, DOHC, variable valve control,",4,Gasoline,11,8-speed automatic,2.0T SEL,SUV,4,Silver Mist Metallic,,All-wheel Drive
2024 Volkswagen Jetta 1.4T S,Volkswagen,Jetta,2024,24348,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,6,8-Speed Automatic with Tiptronic,1.4T S,Sedan,4,Pure White,Titan Black,Front-wheel Drive
2024 Hyundai Sonata Hybrid Limited,Hyundai,Sonata Hybrid,2024,38870,16V GDI DOHC Hybrid,4,Hybrid,14,6-Speed Automatic,Limited,Sedan,4,Portofino Gray,Dark Gray,Front-wheel Drive
2024 Dodge Durango R/T,Dodge,Durango,2024,58709,16V MPFI OHV,8,Gasoline,15,8-Speed Automatic,R/T,SUV,4,Night,Black,All-wheel Drive
2024 Dodge Hornet R/T EAWD,Dodge,Hornet,2024,42855,"4 gasoline direct injection, DOHC, Multiair variable valv",4,Gasoline,5,6-Speed Automatic,R/T EAWD,SUV,4,8 Ball,Black,All-wheel Drive
2024 Dodge Hornet GT,Dodge,Hornet,2024,34990,16V GDI DOHC Turbo,4,Gasoline,10,9-Speed Automatic,GT,SUV,4,Q BALL,Black,All-wheel Drive
2024 Kia Sportage Hybrid EX,Kia,Sportage Hybrid,2024,34835,"4 gasoline direct injection, DOHC, CVVT variable valve co",4,Hybrid,9,Automatic,EX,SUV,4,Gravity Gray,Black,All-wheel Drive
2024 GMC Terrain SLE,GMC,Terrain,2024,35870,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,0,Automatic,SLE,SUV,4,Summit White,Jet Blk Premium Clth,All-wheel Drive
2024 Ford Expedition XLT,Ford,Expedition,2024,69955,24V PDI DOHC Twin Turbo,6,Gasoline,8,10-Speed Automatic,XLT,SUV,4,Silver,Black Onyx,Four-wheel Drive
2024 Dodge Hornet R/T,Dodge,Hornet,2024,39581,16V GDI DOHC Turbo Hybrid,4,Hybrid,5,6-Speed Automatic,R/T,SUV,4,Blue Steel,Black,All-wheel Drive
2024 Volkswagen Atlas 2.0T Peak Edition SE w/Technology,Volkswagen,Atlas,2024,49166,16V GDI DOHC Turbo,4,Gasoline,0,8-Speed Automatic,2.0T Peak Edition SE w/Technology,SUV,4,Avocado Green,Titan Black,All-wheel Drive
2024 Hyundai Tucson Limited,Hyundai,Tucson,2024,40474,"ream 2.5L I-4 port/direct injection, DOHC, CVVT variable",4,Gasoline,5,Automatic,Limited,SUV,4,Shimmering Silver,Gray,All-wheel Drive
2024 BMW X7 xDrive40i,BMW,X7,2024,89450,24V GDI DOHC Turbo,6,Gasoline,10,8-Speed Automatic,xDrive40i,SUV,4,Black Sapphire Metallic,Cognac,All-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,28860,16V GDI DOHC Turbo,4,Gasoline,7,8-Speed Automatic,Latitude,SUV,4,Metallic,Black,Four-wheel Drive
2024 Toyota Tundra Hybrid Limited,Toyota,Tundra Hybrid,2024,62341,"MAX 3.4L V-6 port/direct injection, DOHC, variable valve",6,Hybrid,4357,10-Speed Automatic,Limited,Pickup Truck,4,Ice Cap,Black,Four-wheel Drive
2024 Nissan Kicks SV,Nissan,Kicks,2024,24500,"4 DOHC, CVTCS variable valve control, regular unleaded, e",4,Gasoline,10,CVT,SV,SUV,4,Aspen White Tricoat,Charcoal,Front-wheel Drive
2024 Buick Envista Preferred,Buick,Envista,2024,27075,12V GDI DOHC Turbo,3,Gasoline,6,6-Speed Automatic,Preferred,SUV,4,Sunrise Red Metallic,Ebony,Front-wheel Drive
2024 Acura MDX Base,Acura,MDX,2024,51645,24V GDI SOHC,6,Gasoline,5,10-Speed Automatic,Base,SUV,4,Black,,Front-wheel Drive
2024 Nissan Rogue SV,Nissan,Rogue,2024,35975,"o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl",3,Gasoline,4,Automatic,SV,SUV,4,Gun Metallic,Charcoal,All-wheel Drive
2024 Nissan Rogue SV,Nissan,Rogue,2024,36405,"o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl",3,Gasoline,5,Automatic,SV,SUV,4,Deep Ocean Blue Pearl,Charcoal,All-wheel Drive
2024 Jeep Wagoneer L Series II Carbide 4x4,Jeep,Wagoneer L,2024,86137,"ne 3L I-6 gasoline direct injection, DOHC, variable valve",6,Gasoline,5,Automatic,Series II Carbide 4x4,SUV,4,Velvet Red Pearlcoat,Global Black,Four-wheel Drive
2024 Kia Sportage S,Kia,Sportage,2024,27969,"4 port/direct injection, DOHC, CVVT variable valve contro",4,Gasoline,0,8-Speed Automatic,S,SUV,4,Gravity Gray,Black,Front-wheel Drive
2024 Acura MDX Base,Acura,MDX,2024,51645,24V GDI SOHC,6,Gasoline,5,10-Speed Automatic,Base,SUV,4,White,,Front-wheel Drive
2024 RAM 3500 Tradesman,RAM,3500,2024,63223,24V DDI OHV Turbo Diesel,6,Diesel,13,Automatic,Tradesman,Pickup Truck,4,Bright White Clearcoat,Black,Four-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,47785,16V MPFI OHV,8,Gasoline,32,8-Speed Automatic,Pursuit,SUV,4,DB Black Crystal Clearcoat,Black,All-wheel Drive
2024 Nissan Murano Platinum,Nissan,Murano,2024,46000,24V MPFI DOHC,6,Gasoline,5,Automatic CVT,Platinum,SUV,4,Deep Ocean Blue,Beige,All-wheel Drive
2024 GMC Yukon XL Denali,GMC,Yukon XL,2024,96410,"6.2L V-8 gasoline direct injection, variable valve contr",8,Gasoline,0,Automatic,Denali,SUV,4,Summit White,Teak/Light Shale,Four-wheel Drive
2024 Nissan Rogue SL,Nissan,Rogue,2024,41180,"o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl",3,Gasoline,3,Automatic,SL,SUV,4,Boulder Gray Pearl,Charcoal,All-wheel Drive
2024 Dodge Hornet R/T,Dodge,Hornet,2024,44720,16V GDI DOHC Turbo Hybrid,4,Hybrid,5,6-Speed Automatic,R/T,SUV,4,Blue Steel,Black,All-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,28860,16V GDI DOHC Turbo,4,Gasoline,9,8-Speed Automatic,Latitude,SUV,4,Metallic,Black,Four-wheel Drive
2024 Dodge Durango GT,Dodge,Durango,2024,44160,24V MPFI DOHC,6,Gasoline,12,8-Speed Automatic,GT,SUV,4,Vapor Gray,Black,Rear-wheel Drive
2024 Hyundai Sonata SEL,Hyundai,Sonata,2024,28469,16V PDI DOHC,4,Gasoline,0,8-Speed Automatic,SEL,Sedan,4,White,Dark Gray,All-wheel Drive
2024 RAM 3500 Tradesman,RAM,3500,2024,58930,24V DDI OHV Turbo Diesel,6,Diesel,13,6-Speed Automatic,Tradesman,Pickup Truck,4,Bright White Clearcoat,Black,Four-wheel Drive
2024 GMC Terrain SLT,GMC,Terrain,2024,35236,16V GDI DOHC Turbo,4,Gasoline,0,9-Speed Automatic,SLT,SUV,4,Ebony Twilight Metallic,Jet Black,All-wheel Drive
2024 Jeep Wagoneer Base,Jeep,Wagoneer,2024,60555,24V GDI DOHC Twin Turbo,6,Gasoline,5,8-Speed Automatic,Base,SUV,4,Diamond Black,Black,Rear-wheel Drive
2024 RAM 3500 Tradesman Crew Cab 4x4 8' Box,RAM,3500,2024,66334,"High Output 6.7L I-6 diesel direct injection, VVT interc",6,Diesel,6,Automatic,Tradesman Crew Cab 4x4 8&#39; Box,Pickup Truck,4,Bright White Clearcoat,Black Interior Color,Four-wheel Drive
2024 Audi Q5 e 55 Premium Plus,Audi,Q5 e,2024,73020,"gasoline direct injection, DOHC, variable valve control,",4,Gasoline,12,7-Speed Automatic S tronic,55 Premium Plus,SUV,4,Gray Metallic,Black,All-wheel Drive
2024 RAM 3500 Laramie,RAM,3500,2024,89555,24V DDI OHV Turbo Diesel,6,Diesel,12,Automatic,Laramie,Pickup Truck,4,Pearl White,Black,Four-wheel Drive
2024 RAM 3500 Tradesman,RAM,3500,2024,65315,24V DDI OHV Turbo Diesel,6,Diesel,9,6-Speed Automatic,Tradesman,Pickup Truck,4,Bright White Clearcoat,Black,Four-wheel Drive
2024 Mazda CX-90 PHEV Premium Plus,Mazda,CX-90 PHEV,2024,58599,DOHC 16V LEV3-SULEV30,4,PHEV Hybrid Fuel,8,Automatic,Premium Plus,SUV,4,Soul,Black,All-wheel Drive
2024 Dodge Hornet R/T Plus,Dodge,Hornet,2024,47234,16V GDI DOHC Turbo Hybrid,4,Hybrid,0,6-Speed Automatic,R/T Plus,SUV,4,Gold,Black,All-wheel Drive
2024 Chevrolet Silverado 1500 Custom,Chevrolet,Silverado 1500,2024,44161,16V GDI DOHC Turbo,4,Gasoline,2,8-Speed Automatic,Custom,Pickup Truck,4,Black,Jet Black,Four-wheel Drive
2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,2024,49496,16V GDI OHV,8,Gasoline,2,Automatic,LT,Pickup Truck,4,Black,Jet Black,Four-wheel Drive
2024 Chevrolet Silverado 1500 WT,Chevrolet,Silverado 1500,2024,43475,16V GDI DOHC Turbo,4,Gasoline,2,Automatic,WT,Pickup Truck,4,Black,Jet Black,Four-wheel Drive
2023 Dodge Charger SXT,Dodge,Charger,2023,36083,24V MPFI DOHC,6,Gasoline,20,8-Speed Automatic,SXT,Sedan,4,White,Black,Rear-wheel Drive
2024 Chevrolet Silverado 1500 RST,Chevrolet,Silverado 1500,2024,54559,16V GDI OHV,8,Gasoline,148,Automatic,RST,Pickup Truck,4,Sterling Gray Metallic,Jet Black,Four-wheel Drive
2024 Mercedes-Benz Sprinter 2500 Standard Roof,Mercedes-Benz,Sprinter 2500,2024,60061,16V DDI DOHC Turbo Diesel,4,Diesel,58,9-Speed Automatic,Standard Roof,Cargo Van,3,Silver Gray,Black,Rear-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,28867,"gasoline direct injection, DOHC, variable valve control,",4,Gasoline,1,Automatic,Latitude,SUV,4,Baltic Gray Metallic Clearcoat,Black,Four-wheel Drive
2024 Honda CR-V Hybrid Sport Touring,Honda,CR-V Hybrid,2024,42005,16V GDI DOHC Hybrid,4,Hybrid,1,Automatic CVT,Sport Touring,SUV,4,Radiant Red Metallic,Black,All-wheel Drive
2024 Hyundai Tucson Hybrid SEL Convenience,Hyundai,Tucson Hybrid,2024,35864,16V GDI DOHC Turbo Hybrid,4,Hybrid,5,6-Speed Automatic,SEL Convenience,SUV,4,Amazon Gray,Black,All-wheel Drive
2023 Jeep Compass Latitude,Jeep,Compass,2023,30000,DOHC,4,Gasoline,0,8-Speed Automatic,Latitude,SUV,4,Red Line,Steel Gry Premium Cl,Four-wheel Drive
2024 Kia Sportage X-Line,Kia,Sportage,2024,34000,16V PDI DOHC,4,Gasoline,10,8-Speed Automatic,X-Line,SUV,4,Glacial White Pearl,Black,All-wheel Drive
2024 Jeep Compass Sport,Jeep,Compass,2024,29342,"gasoline direct injection, DOHC, variable valve control,",4,Gasoline,6,Automatic,Sport,SUV,4,Laser Blue Pearlcoat,Black,Four-wheel Drive
2024 Ford Transit-150 Base,Ford,Transit-150,2024,55645,24V PDI DOHC Flexible Fuel,6,E85 Flex Fuel,59,10-Speed Automatic,Base,Cargo Van,3,Race Red,Ebony,All-wheel Drive
2024 Jeep Wrangler 4-Door Sahara 4x4,Jeep,Wrangler,2024,59456,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6,Gasoline,15,Automatic,4-Door Sahara 4x4,SUV,4,,Black,Four-wheel Drive
2024 Jeep Grand Cherokee Laredo,Jeep,Grand Cherokee,2024,39714,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6,Gasoline,14,Automatic,Laredo,SUV,4,Bright White Clearcoat,Global Black,Four-wheel Drive
2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,2024,49628,16V GDI OHV,8,Gasoline,2,Automatic,LT,Pickup Truck,4,Radiant Red,Jet Black,Four-wheel Drive
2024 Hyundai Tucson Hybrid Blue,Hyundai,Tucson Hybrid,2024,33089,16V GDI DOHC Turbo Hybrid,4,Hybrid,25,6-Speed Automatic,Blue,SUV,4,Amazon Gray,Gray,All-wheel Drive
2023 Dodge Charger Scat Pack,Dodge,Charger,2023,65075,16V MPFI OHV,8,Gasoline,18,8-Speed Automatic,Scat Pack,Sedan,4,Blue,Black,Rear-wheel Drive
2024 Jeep Compass Limited,Jeep,Compass,2024,38980,16V GDI DOHC Turbo,4,Gasoline,9,8-Speed Automatic,Limited,SUV,4,Diamond Black,Black,Four-wheel Drive
2024 Jeep Grand Cherokee 4xe 4x4,Jeep,Grand Cherokee 4xe,2024,58235,"gasoline direct injection, DOHC, intercooled turbo, premi",4,Gasoline,3,Automatic,4x4,SUV,4,Midnight Sky,Global Black,Four-wheel Drive
2024 Volkswagen Taos 1.5T SE,Volkswagen,Taos,2024,27998,16V GDI DOHC Turbo,4,Gasoline,3,7-Speed DSGA? Automatic w/ 4MO,1.5T SE,SUV,4,Pyrite Silver Metallic,Black,All-wheel Drive
2024 Chevrolet Equinox LS,Chevrolet,Equinox,2024,25515,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,8,6-Speed Automatic Electronic with Overdrive,LS,SUV,4,Summit White,Medium Ash Gray,Front-wheel Drive
2024 Jeep Wrangler 4xe Rubicon,Jeep,Wrangler 4xe,2024,66960,16V GDI DOHC Turbo Hybrid,4,Hybrid,5,8-Speed Automatic,Rubicon,SUV,4,Earl Clearcoat,Black,Four-wheel Drive
2024 Mazda CX-90 PHEV Base,Mazda,CX-90 PHEV,2024,53395,"TIV-G 2.5L I-4 gasoline direct injection, DOHC, variable",4,Gasoline,5,8-Speed Automatic,Base,SUV,4,Rhodium White Premium,Greige,All-wheel Drive
2024 RAM ProMaster 2500 High Roof,RAM,ProMaster 2500,2024,53272,24V MPFI DOHC,6,Gasoline,1,9-Speed Automatic,High Roof,Cargo Van,3,Bright White Clearcoat,Black,Front-wheel Drive
2024 Lincoln Corsair Reserve,Lincoln,Corsair,2024,51361,16V GDI DOHC Turbo,4,Gasoline,3,8-Speed Automatic,Reserve,SUV,4,Infinite Black Metallic,Ebony,All-wheel Drive
2024 GMC Savana 2500 Work Van,GMC,Savana 2500,2024,44595,"6 gasoline direct injection, variable valve control, regu",6,Gasoline,3,Automatic,Work Van,Cargo Van,3,Summit White,,Rear-wheel Drive
2024 Chrysler Pacifica Hybrid Select,Chrysler,Pacifica Hybrid,2024,60600,24V MPFI DOHC Hybrid,6,Hybrid,10,Automatic CVT,Select,Passenger Van,4,Bright White Clearcoat,Black,Front-wheel Drive
2024 Dodge Hornet GT,Dodge,Hornet,2024,38575,16V GDI DOHC Turbo,4,Gasoline,10,9-Speed Automatic,GT,SUV,4,Gray,Black,All-wheel Drive
2024 Acura ZDX A-SPEC,Acura,ZDX,2024,69850,c,0,Electric,0,Automatic,A-SPEC,SUV,4,,,All-wheel Drive
2024 Nissan Altima 2.5 SV,Nissan,Altima,2024,31225,16V GDI DOHC,4,Gasoline,6,Automatic CVT,2.5 SV,Sedan,4,Black,Charcoal,Front-wheel Drive
2024 Hyundai Sonata Hybrid SEL,Hyundai,Sonata Hybrid,2024,32520,16V GDI DOHC Hybrid,4,Hybrid,11,6-Speed Automatic,SEL,Sedan,4,Portofino Gray,Gray,Front-wheel Drive
2023 Dodge Charger SXT,Dodge,Charger,2023,35821,24V MPFI DOHC,6,Gasoline,20,8-Speed Automatic,SXT,Sedan,4,Black,Black,Rear-wheel Drive
2024 Mazda CX-90 PHEV Base,Mazda,CX-90 PHEV,2024,60200,"TIV-G 2.5L I-4 gasoline direct injection, DOHC, variable",4,Gasoline,33,Automatic,Base,SUV,4,Jet Black Mica,White,All-wheel Drive
2024 Dodge Hornet GT AWD,Dodge,Hornet,2024,36532,"ne 2L I-4 gasoline direct injection, DOHC, variable valve",4,Gasoline,14,9-Speed 948TE Automatic,GT AWD,SUV,4,Gray Cray,Black,All-wheel Drive
2024 Jeep Grand Cherokee 4xe Anniversary Edition,Jeep,Grand Cherokee 4xe,2024,61506,"gasoline direct injection, DOHC, intercooled turbo, premi",4,Gasoline,3,Automatic,Anniversary Edition,SUV,4,Silver Zynith,Global Black,Four-wheel Drive
2024 Mazda CX-90 PHEV Base,Mazda,CX-90 PHEV,2024,59625,"TIV-G 2.5L I-4 gasoline direct injection, DOHC, variable",4,Gasoline,2,8-Speed Automatic,Base,SUV,4,Deep Crystal Blue Mica,Black,All-wheel Drive
2024 Dodge Hornet Hornet Gt Awd,Dodge,Hornet,2024,35480,"ne 2L I-4 gasoline direct injection, DOHC, variable valve",4,Gasoline,0,Automatic,Hornet Gt Awd,SUV,4,Hot Tamale,Black,All-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,31200,16V GDI DOHC Turbo,4,Gasoline,11,8-Speed Automatic,Latitude,SUV,4,Silver Zynith,Black,Four-wheel Drive
2024 Jeep Wrangler 4xe Sport S,Jeep,Wrangler 4xe,2024,54835,"gasoline direct injection, DOHC, intercooled turbo, premi",4,Gasoline,11,8-Speed A/T,Sport S,SUV,4,Silver Zynith Clearcoat,Black,Four-wheel Drive
2024 Jeep Grand Cherokee Limited,Jeep,Grand Cherokee,2024,52115,24V MPFI DOHC,6,Gasoline,13,8-Speed Automatic,Limited,SUV,4,Metallic,Beige / Black,Four-wheel Drive
2024 Volkswagen Taos 1.5T SE,Volkswagen,Taos,2024,32011,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,11,8-speed automatic,1.5T SE,SUV,4,Pure White,Black,Front-wheel Drive
2024 RAM ProMaster 3500 High Roof,RAM,ProMaster 3500,2024,53099,24V MPFI DOHC,6,Gasoline,30,9-Speed Automatic,High Roof,Cargo Van,3,Bright White Clearcoat,Black,Front-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,46835,16V MPFI OHV,8,Gasoline,32,8-Speed Automatic,Pursuit,SUV,4,DB Black Crystal Clearcoat,Black,All-wheel Drive
2024 Volkswagen Taos 1.5T SE,Volkswagen,Taos,2024,30383,16V GDI DOHC Turbo,4,Gasoline,13,8-Speed Automatic,1.5T SE,SUV,4,Pure Gray W/Black Roof,Black,Front-wheel Drive
2024 Cadillac XT5 Luxury,Cadillac,XT5,2024,46890,16V GDI DOHC Turbo,4,Gasoline,10,9-Speed Automatic,Luxury,SUV,4,Crystal White Tri-Coat,Jet Black,Front-wheel Drive
2024 Jeep Grand Cherokee Laredo,Jeep,Grand Cherokee,2024,37729,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6,Gasoline,10,Automatic,Laredo,SUV,4,Diamond Black Crystal Pearlcoat,Global Black,Four-wheel Drive
